协心戮力 道合志同 同心合胆 身在曹营心在汉 百虑攒心
瞠目而视 直眉睖眼 雷嗔电怒 怒气冲冲 鼓眼努睛
默默无言 夜静更深 静观默察 寂然不动 东游西荡
惊慌无措 惊皇失措 张慌失措 惊慌失措 惊惶失措
旰食之劳 口多食寡 不遑暇食 日旰忘食 食不充肠
绷爬吊拷 掤扒吊拷 绷巴吊拷 挈领提纲 提纲挈领
光车骏马 宝马香车 香车宝马 披罗戴翠 重葩累藻
黑家白日 成日成夜 黑天白日 连宵达旦 连明连夜
无可名状 切齿拊心 不堪言状 刻骨仇恨 恨入骨髓
弹冠振衿 弹冠振衣 河清三日 置水之情 白鱼赤乌
清歌曼舞 妙舞清歌 轻歌曼舞 载歌且舞 珠歌翠舞
有生之年 无冬历夏 一年一度 岁暮天寒 一岁再赦
得马折足 得马生灾 避祸求福 福善祸淫 祸福相倚
崇山峻岭 陡壁悬崖 万壑千岩 丛山峻岭 龙飞凤舞
优游岁月 悠闲自在 删华就素 逍遥自得 逍遥自在
衡短论长 比物假事 以古方今 酌古准今 知往鉴今
胆丧魂惊 胆丧魂消 失魂丧胆 惊魂动魄 惊魂丧魄
莫衷一是 碌碌寡合 七拱八翘 爽然自失 以水投石
里出外进 不事边幅 半半拉拉 错落不齐 东完西缺
和而不唱 直抒己见 不吝指教 慎小事微 饰非遂过
心如铁石 铁心石肠 金兰之交 心如金石 心如坚石
相时而动 兵来将迎，水来土堰 兵来将敌，水来土堰 兵来将挡，水来土掩 临机应变
巧言利口 慧心妙舌 心巧嘴乖 利齿能牙 灵心慧齿
掩口而笑 掩口葫芦 自我解嘲 杜口无言 不露神色
不见天日 黑灯瞎火 上无片瓦，下无卓锥 上天无路，入地无门 再衰三涸
包举宇内 充天塞地 一揽包收 彻上彻下 六合之内
拨乱济危 扶危定乱 济世安人 匡国济时 救世济民
安之若命 祸中有福 池鱼之殃 池鱼之祸 月值年灾
十恶不赦 极恶不赦 罪不胜诛 赃盈恶贯 隆刑峻法
兵凶战危 以战去战 龙战鱼骇 四面受敌 龙争虎斗
枕稳衾温 裘马清狂 暖衣饱食 肥甘轻暖 饮水曲肱
人微言轻 身微言轻 德薄才鲜 屈高就下 简贤附势
盗亦有道 拿贼见赃 拿贼拿赃 据理力争 主守自盗
风情月债 谈情说爱 桑间之约 莺期燕约 烟花风月
庸医杀人 对症之药 病急乱投医 三病四痛 戕身伐命
超然自得 成日成夜 吃喝玩乐 无疆之休 安身乐业
剩菜残羹 残汤剩饭 残羹冷饭 残羹冷炙 瓦器蚌盘
漫无止境 永永无穷 永世无穷 永生永世 百世不易
一隅之说 陈言肤词 皮相之见 秕言谬说 自我解嘲
磐石之安 不可动摇 铜打铁铸 盘石之安 安安稳稳
退有后言 面是背非 马上房子 面誉背毁 虚己受人
鼻端生火 策马飞舆 形色仓皇 载驰载驱 载驱载驰
在所不惜 所费不赀 一掷百万 一掷千金 谨行俭用
焚巢捣穴 焚巢荡穴 冰散瓦解 冰消冻解 瓦解冰消
以人为镜 前事不忘，后事之师 以往鉴来 知往鉴今 取长弃短
扇风点火 来而不往非礼也 行住坐卧 抬脚动手 鼓舞人心
忐忑不安 忑忑忐忐 蹀躞不下 忐上忑下 困心横虑
整旧如新 涤故更新 破旧立新 涤秽布新 铸新淘旧
月地云阶 神霄绛阙 九天仙女 璇霄丹阙 鸾姿凤态
涤秽布新 破旧立新 除旧更新 弃故揽新 去故就新
国难当头 民困国贫 国步艰难 忧国忧民 公私交困
泛泛而谈 泛泛之谈 谈空说有 要而论之 谈天说地
遗文逸句 孤文断句 片语只辞 片言一字 孤文只义
卖公营私 趁人之危 趁火抢劫 营私罔利 损己利人
楚材晋用 兵车之会 简贤任能 甄奇录异 秦晋之好
昆弟之好 贵贱无二 一模二样 一模一样 爱如己出
利欲熏心 财迷心窍 昏头转向 利令志惛 落魄江湖
太平盛世 匡乱反正 民富国强 国富民安 反正拨乱
体贴入妙 心摹手追 研精阐微 惟妙惟肖 精义入神
雨过天晴 雨过天青 杏花春雨 事过景迁 肤寸而合
乃文乃武 才兼文武 文武全才 文治武力 文武双全
损有余补不足 詹言曲说 精兵简政 省烦从简 言无伦次
突如其来 飞来横祸 飞灾横祸 意出望外 异闻传说
见机而行 见机行事 相机行事 观机而作 观机而动
若隐若现 头昏眼花 头昏眼晕 一叶障目 摸不着头脑
国富民安 民富国强 国富民强 富国安民 济世安民
詀言詀语 胆大妄为 胡说乱道 做鬼做神 玩忽职守
帡天极地 万象森罗 一切万物 鱼跃鸢飞 地负涵
投卵击石 芝草无根 沾沾自喜 居功自傲 蜉蝣撼大树
宿水餐风 餐风咽露 餐风宿草 餐风宿露 餐风饮露
气宇轩昂 器宇轩昂 欢蹦乱跳 虎体熊腰 活龙鲜健
黑风孽海 白黑不分 火山汤海 若涉渊水 流水游龙
倒因为果 害人不浅 适居其反 为非作歹 恶性循环
好声好气 和风丽日 软谈丽语 软香温玉 温润而泽
遁天妄行 逆天暴物 遁天之刑 违天悖人 负类反伦
舍近务远 心小志大 砥志研思 逐近弃远 长计远虑
朽戈钝甲 身无分文 鱼溃鸟散 残兵败将 囊匣如洗
言外之味 皮里阳秋 皮里春秋 隐忍不言 隐忍不发
令人起敬 泰山其颓 黍离麦秀 麦秀黍离 万流景仰
舍己为人 急人之难 急人之困 将伯之呼 假力于人
鹤骨鸡肤 荦荦确确 玉减香销 鹤骨霜髯 丰肌弱骨
鸟惊鱼骇 栉比鳞差 栉比鳞臻 无所容心 断羽绝鳞
贵贱无二 蹈仁履义 仁同一视 比量齐观 视同一律
漆黑一团 一团漆黑 伸手不见五指 黑灯瞎火 愁云惨雾
桃李春风 敩学相长 尊师贵道 诲人不惓 桃李之教
装傻充愣 推聋妆哑 懵懵懂懂 撇呆打堕 妆聋做哑
云次鳞集 凫居雁聚 协力同心 同心协力 攒三集五
畅通无阻 畅行无阻 略无忌惮 不避艰险 有天没日
恣意妄为 恣意妄行 随心所欲 像心适意 漫不加意
革旧图新 涤秽布新 弃故揽新 破旧立新 除旧更新
超群绝伦 超世绝伦 逸辈殊伦 超群拔类 无可比伦
男大当娶 男大须婚 女长须嫁 男大当婚 成家立计
不复堪命 道尽涂穷 道尽途殚 束手就困 半死不活
接二连三 接连不断 接三连四 妙语连珠 终而复始
僻字涩句 陈言老套 山枯石死 左支右调 言无伦次
详星拜斗 焚香顶礼 晨参暮礼 铺胸纳地 树俗立化
好色之徒 拈花弄柳 断袖之癖 夺人所好 乐在其中
认祖归宗 告老还家 衣锦过乡 衣锦荣归 衣锦还乡
独得之见 独出己见 标新竞异 标新竖异 标新创异
荣谐伉俪 福星高照 和气生财 大吉大利 失马塞翁
诸如此比 诸若此类 诸有此类 色色俱全 买东买西
衡虑困心 腹热心煎 骨软筋麻 没精打彩 萎糜不振
知命之年 年逾古稀 白首之心 年高德勋 一日之长
翼翼飞鸾 劳燕分飞 各安生业 徒劳往返 往返徒劳
束手束足 束手缚脚 束手束脚 枷脰械手 披枷戴锁
百紫千红 花攒锦簇 十光五色 五光十色 花堆锦簇
器宇轩昂 气宇轩昂 身强力壮 活龙鲜健 踔厉奋发
平心静气 侃侃而言 从容应对 温文儒雅 坦然自若
成千成万 万万千千 成千累万 车载船装 成千上万
惊心夺目 急痛攻心 惊心骇神 感慨激昂 感人肺腑
饥火烧肠 鸟面鹄形 面有菜色 忍饥受饿 饥不遑食
千载一弹 盛情难却 语长心重 云天高谊 义重恩深
心甘情原 完好无缺 一模一样 十全十美 一般无二
谨行俭用 秉节持重 慎小事微 因小失大 防患未萌
百无一是 有心无力 劳而无功 百举百捷 徒劳无功
垂头搨翼 垂头塌翅 垂头铩羽 屁滚尿流 失魂丧胆
正己守道 尊贤使能 仁人义士 信守不渝 蹈仁履义
奴颜婢睐 低声下气 拍马溜须 低三下四 拒人千里
抽秘骋妍 大发议论 旷心怡神 自媒自衒 交浅言深
慌手慌脚 油浇火燎 搓手顿足 风雷火炮 马仰人翻
光车骏马 金章玉句 重葩累藻 雕章镂句 刻翠裁红
其应若响 其应如响 动如脱兔 从容自如 能言快说
名门世族 名垂后世 凤子龙孙 身显名扬 发家致富
目睫之论 嗫嚅小儿 肉眼愚眉 辽东豕 略知皮毛
观眉说眼 顾左右而言他 咸嘴淡舌 风趣横生 议论风发
烟消火灭 碎骨粉尸 焚巢捣穴 焚巢荡穴 雨消云散
搬唇弄舌 舞弄文墨 使乖弄巧 应节合拍 拼死拼活
名胜古迹 名山胜川 名山胜水 人文荟萃 重望高名
触目兴叹 哀声叹气 唉声叹气 嗟悔无及 咳声叹气
变古乱常 变俗易教 变古易俗 遗风旧俗 移风改俗
殒身不恤 魂销肠断 负恩昧良 违天害理 违天悖理
饰非遂过 按行自抑 忙里偷闲 慎小事微 逐机应变
一搭一档 枝叶相持 笙磬同音 如切如磋 鼋鸣鳖应
弃甲投戈 解甲休士 解甲投戈 案兵束甲 韬戈卷甲
暮鼓晨钟 筛锣擂鼓 鼓乐齐鸣 敲金戛玉 打退堂鼓
道弟称兄 连枝同气 桃花潭水 情深潭水 亲如手足
相辅而行 急人之难 急人之困 假力于人 舍己为人
重望高名 烜赫一时 时望所归 风行一世 齐名并价
据为己有 有借无还 假手于人 慷他人之慨 物归原主
钩金舆羽 未可同日而语 判若水火 不差上下 比众不同
毕恭毕敬 必恭必敬 轻身下气 点头哈腰 低声下气
百巧成穷 贫贱之交 贫而乐道 振穷恤寡 多才多艺
恶言詈辞 恶语伤人 以言徇物 破口大骂 惟口起羞
人满为患 大廷广众 人烟稠密 人烟浩穰 广庭大众
卷甲倍道 愤不顾身 奋勇当先 健步如飞 载驱载驰
金石良言 金石之言 金兰之交 一言千金 量金买赋
踟蹰不前 踌躇不前 进退狐疑 进退两端 畏缩不前
巧立名目 巧立名色 巧作名目 不及之法 左建外易
变化不测 禀性难移 不可移易 不破不立 本性难移
俎樽折冲 当头对面 先下手为强 运筹制胜 运筹千里
周情孔思 孔情周思 孔思周情 存心养性 同心合德
材雄德茂 因任授官 阳春有脚 家骥人璧 圣神文武
死而复生 长生不死 出世离群 不复堪命 一生九死
讳莫高深 隐姓埋名 不露神色 避人耳目 避瓜防李
七窝八代 五亲六眷 阖门百口 天潢贵胄 门殚户尽
五子登科 龙凤呈祥 大吉大利 普天同庆 三星在户
违天悖人 违天逆理 诞谩不经 诞妄不经 诞罔不经
朱衣使者 雁塔题名 开科取士 名落孙山 及第成名
谨行俭用 损有余补不足 增收节支 慎小事微 盈满之咎
遗臭无穷 丑声远播 遗臭万载 万世流芳 遗恨千古
弹丝品竹 繁弦急管 吹竹弹丝 轻歌曼舞 击石弹丝
以柔克刚 威迫利诱 威胁利诱 刚柔相济 怕硬欺软
门禁森严 重金袭汤 文深网密 刚柔相济 严丝合缝
同盘而食 推梨让枣 生死之交 通家之好 深情厚意
文武全才 多才多艺 文经武略 才兼文武 博学多才
斯斯文文 凤叹虎视 雅人清致 兰心蕙性 酸文假醋
食不二味 食不兼肉 食不累味 食不兼味 食不重肉
利齿能牙 心巧嘴乖 灵心慧齿 能言快语 巧言利口
照章办事 稳步前进 以身作则 井井有序 大经大法
根深蒂固 根深柢固 树大根深 盘石之固 山止川行
过甚其辞 不切实际 言行不符 言不逮意 言不达意
一枕南柯 逢机遘会 心乡往之 乐在其中 邂逅相逢
无远弗届 无往不克 无所不在 没完没了 悦目赏心
兵来将挡，水来土掩 兵来将迎，水来土堰 兵来将敌，水来土堰 见机行事 因时制宜
淫言诐行 无可非议 没查没利 秕言谬说 兴讹造讪
一朝之患 否终复泰 月值年灾 祸绝福连 遭倾遇祸
隐介藏形 隐占身体 雾鳞云爪 原形败露 贼头鼠脑
触目崩心 触目伤怀 触目伤心 触景伤怀 触景伤心
不破不立 悬而未决 累教不改 旧病难医 束手就困
岩栖谷隐 岩栖谷饮 岩栖穴处 岩居穴处 山栖谷饮
正正经经 应节合拍 营营逐逐 切近的当 历历可见
以战去战 以守为攻 竭智尽力 痛剿穷迫 横抢硬夺
忸怩不安 面红面绿 面红耳热 恇怯不前 赧颜汗下
厌闻饫听 耳听八方 娓娓动听 有枝有叶 聆音察理
四面受敌 遵养晦时 表里受敌 敌国外患 必争之地
莫予毒也 莫余毒也 才气无双 人不犯我，我不犯人 勇者不惧
一时三刻 一时半刻 一时半霎 一时半晌 瞬息之间
七高八低 羊肠鸟道 崤函之固 虎踞龙盘 千沟万壑
金城千里 铁郭金城 深根固蒂 崇墉百雉 广土众民
乐往哀来 乐极则悲 乐极悲来 乐极哀来 乐极生哀
不乏先例 引经据古 改朝换代 知往鉴今 诸有此类
太平盛世 物阜民康 民富国强 地上天官 优游岁月
义重恩深 恩深义重 深仁厚泽 恩重泰山 重义轻财
人言啧啧 一不扭众 众怨之的 恶作剧 计出无聊
放言高论 直抒己见 张口掉舌 大发议论 二话不说
保国安民 护国佑民 保境息民 济世安民 历精为治
交梨火枣 吸风饮露 道骨仙风 琅嬛福地 壶天日月
狂三诈四 诈败佯输 佯输诈败 撒诈捣虚 侜张为幻
昏迷不醒 昏头转向 魂摇魄乱 半梦半醒 神情恍惚
鹏霄万里 青云万里 万里鹏程 万里鹏翼 云程万里
闭关自主 杜门不出 无所回避 闭门却轨 闭门扫迹
损人害己 损己利人 损人利己 损人不利己 恶意中伤
半吞半吐 半吐半露 说来话长 含糊其辞 不明不白
偃革尚文 识字知书 偃武崇文 揆文奋武 尊师贵道
横无忌惮 放荡不羁 放浪不羁 自由放任 放浪无羁
千汇万状 众多非一 诸有此类 诸若此类 诸如此比
弃甲曳兵 丢盔弃甲 豕窜狼逋 曳兵弃甲 轻装上阵
优柔寡断 郁郁寡欢 寡二少双 众寡势殊 少私寡欲
惊才风逸 跌宕风流 鸿渐之仪 才夸八斗 雅人韵士
负险不宾 负险不臣 负阻不宾 负重含污 负重吞污
泛泛而谈 泛泛之谈 要而论之 谈空说有 枝词蔓说
渺不足道 量小力微 深奥莫测 一无所知 毫发丝粟
赏立诛必 赏信罚必 陟罚臧否 赏罚严明 赏功罚罪
异名同实 大同小异 貌离神合 判然不同 独一无二
探丸借客 拜赐之师 借客报仇 借交报仇 歼一警百
笑逐颜开 喜行于色 掩口葫芦 讪皮讪脸 掩口胡卢
飘风苦雨 马毛猬磔 河决鱼烂 生民涂炭 握蛇骑虎
轻死重气 重气猣名 重气徇命 轻身重义 重义轻生
守分安常 抱诚守真 信守不渝 坚贞不渝 不易之典
五陵英少 五陵年少 膏腴子弟 膏粱年少 游闲公子
凡偶近器 凡夫俗子 鹤困鸡群 白蚁争穴 凡胎浊体
头焦额烂 尿流屁滚 烂额焦头 狼狈不堪 丢魂丧胆
小鹿触心头 骇人闻听 心乔意怯 骇人听闻 耽惊受怕
止戈散马 休牛归马 休牛散马 来好息师 案甲休兵
贱买贵卖 贱入贵出 贱敛贵出 买贱卖贵 贩贱卖贵
挨山塞海 击毂摩肩 千千万万 万万千千 成千累万
嫁犬逐犬 罗敷有夫 燕燕于归 文君新寡 束发封帛
画荻丸熊 教导有方 母以子贵 母慈子孝 教学相长
不分轩轾 江水不犯河水 道不同，不相为谋 不通水火 不相上下
发奋图强 同德协力 只争旦夕 同德一心 如原以偿
一隅之说 书生之见 囿于成见 异端邪说 离经叛道
命辞遣意 命词遣意 创意造言 不可言喻 搔着痒处
十战十胜 常胜将军 无往不克 料敌制胜 转败为胜
众口一词 同出一辙 心口相应 异口同声 异口同音
风雨飘零 风起水涌 靡然顺风 斐然乡风 斐然向风
各自为战 争权攘利 东奔西向 争名竞利 权均力齐
瞻情顾意 相辅而行 相生相成 声气相通 相切相磋
积素累旧 没世不渝 天荒地老 地老天荒 真金烈火
独出己见 别具只眼 独得之见 自出一家 自成一家
欺大压小 怕硬欺软 四面受敌 以弱胜强 锄强扶弱
人多势众 养威蓄锐 逸群之才 初试锋芒 初露锋芒
革旧图新 弃过图新 旧地重游 破旧立新 励精更始
谋臣如雨 多见广识 见德思齐 百星不如一月 兵在精而不在多
土阶茅屋 初出茅庐 土阶茅茨 蓬门筚户 织楚成门
生死未卜 终始若一 久悬不决 永不磨灭 永永无穷
允文允武 才兼文武 入铁主簿 纬武经文 文武全才
以攻为守 以守为攻 四面受敌 打击报复 防患未萌
生民涂炭 烧眉之急 牵鬼上剑 如蹈水火 十死九活
凤舞龙飞 笔走龙蛇 捉衿见肘 鸾翱凤翥 画沙印泥
握云拿雾 握雾拏云 腾云驾雾 驾雾腾云 云屯雾集
超然自得 安常履顺 靠天吃饭 安土乐业 逍遥物外
不念旧恶 追悔何及 耿耿于心 寸心千古 时不我与
持正不阿 秉正无私 公正不阿 中立不倚 守正不回
逞强称能 沾沾自衒 鬻宠擅权 抓乖卖俏 抓乖弄俏
转败为胜 匡国济时 反败为胜 救难解危 抱打不平
无为自化 选妓征歌 遗世忘累 无动为大 栖冲业简
挑拨离间 排除异己 排斥异己 聚众滋事 植党营私
流落江湖 流离颠顿 流离颠痜 断梗浮萍 狼艰狈蹶
燕雀安知鸿鹄志 鸿鹄之志 鸿鹄将至 孤鸿寡鹄 附骥攀鸿
大请大受 因任授官 爱人好士 齐名并价 知遇之恩
朝华夕秀 旧瓶装新酒 旧瓶新酒 自出机轴 别开一格
有识之士 超世之才 才识过人 才华超众 逸群之才
