情投意忺 情投谊合 协心戮力 协心同力 道合志同
积习难改 积习难除 山河易改，本性难移 江山好改，秉性难移 江山易改，秉性难移
稳步前进 照章办事 随事制宜 言行相符 假门假事
深雠大恨 深仇大恨 同心敌忾 深仇重怨 疾恶如雠
超凡出世 超然远引 超然远举 肥遯鸣高 遗形藏志
瞠目而视 横眉怒目 怒目横眉 直眉睖眼 雷嗔电怒
屏声敛息 沉默寡言 悄然无声 默默无言 鸦默鹊静
惊惶无措 张慌失措 惊慌失措 惊惶失措 惊慌无措
旰食之劳 悔之晚矣 食不充肠 红日三竿 薄暮冥冥
死标白缠 五花大绑 奋起直追 黏吝缴绕 用心竭力
光车骏马 宝马香车 香车宝马 披罗戴翠 鸾舆凤驾
连宵彻曙 连明彻夜 连明达夜 成日成夜 黑家白日
痛深恶绝 深仇重怨 深仇大恨 恨入骨髓 切齿拊心
弹冠振衣 弹冠振衿 戴头识脸 黼衣方领 整衣敛容
清歌曼舞 妙舞清歌 载歌且舞 醉舞狂歌 轻歌曼舞
有生之年 无冬历夏 残冬腊月 一年一度 岁聿云暮
遇难呈祥 遇难成祥 救苦弭灾 得马折足 得马生灾
崇山峻岭 高山峻岭 风骨峭峻 层峦叠嶂 陡壁悬崖
优游岁月 优游卒岁 逍遥自在 逍遥自得 悠闲自在
酌古准今 酌古参今 酌古斟今 知往鉴今 稽古揆今
碎心裂胆 胆丧魂惊 胆丧魂消 脸无人色 惊神破胆
冰炭不投 一山不藏二虎 以水投石 七拱八翘 话不相投
里出外进 错落不齐 少头缺尾 佹形僪状 千奇百怪
直抒己见 虚己受人 各抒所见 和而不唱 公听并观
心如铁石 心如金石 确固不拔 心如坚石 确乎不拔
相时而动 当机立断 临机应变 随机应变 因事制宜
巧言利口 论辩风生 慧心妙舌 能言快语 词严义密
掩口而笑 掩口葫芦 载笑载言 掩口失声 忍俊不住
不见天日 黑地昏天 地狱变相 乌天黑地 昏天黑地
包举宇内 帡天极地 函盖充周 包罗万象 极天蟠地
拨乱济危 扶危定乱 拨乱济时 救世济民 济世安人
池鱼之殃 池鱼之祸 遭倾遇祸 无须之祸 月值年灾
十恶不赦 极恶不赦 衅稔恶盈 罪逆深重 罪当万死
兵凶战危 巢焚原燎 龙战鱼骇 枪烟砲雨 枪烟炮雨
裘马清狂 枕稳衾温 肥甘轻暖 暖衣饱食 绿酒红灯
人微言轻 身微言轻 道旁苦李 耻居人下 身微力薄
盗亦有道 监主自盗 揭箧探囊 拿贼拿赃 拿贼见赃
风情月债 烟花风月 殢云尤雨 谈情说爱 雨沾云惹
庸医杀人 病民害国 不按君臣 损人害己 不治之症
朝欢暮乐 怡然自若 载欢载笑 无疆之休 神怿气愉
剩菜残羹 残羹冷炙 残羹冷饭 残汤剩饭 余腥残秽
永永无穷 永世无穷 永无止境 漫无止境 无了无休
村学究语 秽言污语 恶言詈辞 恶语伤人 陈言肤词
铜打铁铸 不可动摇 磐石之安 盘石之安 铁壁铜墙
退有后言 面是背非 言之谆谆，听之藐藐 马上房子 口是心非
连三跨五 汲汲皇皇 形色仓皇 鼻端生火 十万火速
大肆挥霍 扬厉铺张 一掷百万 一掷千金 铺张浪费
碎骨粉尸 焚巢荡穴 焚巢捣穴 右翦左屠 扫地俱尽
以往鉴来 前事不忘，后事之师 大处着眼 以人为镜 磨礲淬励
扇风点火 推涛作浪 扬长避短 掀风鼓浪 振奋人心
惴惴不安 担惊受恐 担惊忍怕 忧心忡忡 担惊受怕
整旧如新 涤故更新 除旧更新 涤秽布新 破旧立新
仙山楼阁 地上天宫 云堦月地 月地云阶 云阶月地
去故就新 弃故揽新 涤故更新 除旧更新 送旧迎新
上下交困 公私交困 民困国贫 国难当头 国步艰难
泛泛之谈 泛泛而谈 谈空说有 谈天说地 肤末支离
只言片语 片言一字 片语只辞 一言半语 一言两语
杯羹之让 趁人之危 丧身失节 东敲西逼 以恶报恶
楚材晋用 野无遗贤 丰年玉荒年谷 使贤任能 祁奚之荐
昆弟之好 贵贱无二 爱如己出 比类从事 视同一律
利欲熏心 利令志惛 财迷心窍 贪利忘义 贪欲无艺
太平盛世 承平盛世 国富民安 骑驴倒堕 尧年舜日
体贴入妙 心摹手追 雕章琢句 专精覃思 毫分缕析
云过天空 虹销雨霁 雨过天青 雨过天晴 祸绝福连
乃文乃武 才兼文武 出文入武 文武兼备 揆文奋武
简要不烦 长话短说 不厌其详 联篇累牍 要言不烦
突如其来 一朝之患 意出望外 出人意料 飞灾横祸
谆谆告戒 谆谆善诱 不吝指教 谆谆不倦 谆谆诰诫
若隐若现 混混沌沌 影影绰绰 目不暇接 一叶障目
民富国强 国富民安 国富民强 国富民丰 物阜民康
胆大妄为 胡说八道 胡思乱想 脱天漏网 横无忌惮
万象森罗 帡天极地 漫天盖地 云布雨施 际地蟠天
沾沾自喜 志骄意满 自矜功伐 坐树无言 坐树不言
宿水餐风 餐风饮露 餐风咽露 餐风宿露 餐风宿草
活龙鲜健 器宇轩昂 气宇轩昂 神龙马壮 龙精虎猛
黑风孽海 握蛇骑虎 逆风恶浪 若涉渊水 如蹈水火
适居其反 求益反损 误国殃民 得不补失 得不酬失
春回大地 春风和气 春暖花开 风和日丽 日丽风和
违天悖人 逆天暴物 负类反伦 遁天妄行 败德辱行
长虑却顾 长虑后顾 舍近务远 长计远虑 心小志大
朽戈钝甲 鱼溃鸟散 残兵败将 兵败如山倒 一触即溃
难言之隐 言外之味 皮里阳秋 皮里春秋 由衷之言
吊死扶伤 泰山其颓 在天之灵 歼一警百 吊死问疾
将伯之呼 假力于人 求亲靠友 助人下石 邀功求赏
鹤骨鸡肤 鹤骨霜髯 钟漏并歇 七老八倒 蓬头厉齿
断羽绝鳞 鸟惊鱼骇 轻徙鸟举 爱惜羽毛 旁枝末节
比量齐观 视同一律 仁同一视 贵贱无二 行同能偶
漆黑一团 一团漆黑 浑然无知 愁云惨雾 伸手不见五指
桃李春风 敩学相长 桃李之教 尊师贵道 诲人不惓
强不知以为知 假痴假呆 胡说八道 推聋妆哑 打马虎眼
云次鳞集 渊渟泽汇 铁板一块 雾集云合 水泄不透
敢作敢为 略无忌惮 无所畏忌 无所畏惮 无所顾惮
漫不经心 唯所欲为 大大落落 像心适意 随心所欲
百废具举 百凡待举 百废俱兴 整旧如新 百废待举
超群绝伦 当今无辈 超世绝伦 超群越辈 逸辈殊伦
男大须婚 男大当娶 女长须嫁 女大须嫁 女大当嫁
不复堪命 死生荣辱 半死不活 道尽途殚 道尽涂穷
接二连三 接连不断 接三连四 层出迭见 层出叠见
僻字涩句 盲风涩雨 郁郁累累 话里藏阄 拘文牵义
详星拜斗 鸾姿凤态 焚香膜拜 焚香顶礼 步罡踏斗
好色之徒 好事之徒 騣女痴男 騣女痴儿 撩云拨雨
认祖归宗 锦衣行昼 归去来兮 抛乡离井 掷杖成龙
独出己见 独得之见 标新竞异 标新创异 标新竖异
福星高照 祸中有福 福至心灵 逢吉丁辰 齐天洪福
诸如此比 诸有此类 诸若此类 色色俱全 诸如此类
心长绠短 困心横虑 失魂荡魄 心上心下 顿足捩耳
知命之年 年高德勋 年逾古稀 衰当益壮 岁不我与
劳燕分飞 各就各位 散阵投巢 各安生业 展翅高飞
枷脰械手 束手缚脚 束手束足 束手束脚 名韟利鞚
百紫千红 花攒锦簇 五色缤纷 十光五色 五光十色
龙精虎猛 踔厉奋发 器宇轩昂 气宇轩昂 铜心铁胆
言笑自如 言笑自若 平心静气 温文儒雅 言气卑弱
布天盖地 骈门连室 成千成万 万万千千 成千累万
感慨激昂 惊心夺目 满腔热枕 急痛攻心 惊心骇神
凶喘肤汗 饥火烧肠 行眠立盹 面有菜色 鹄形鸟面
千载一弹 情深意重 恩深义重 义重恩深 盛情难却
心甘情原 深信不疑 甘心情原 十全十美 不爽毫发
谨行俭用 秉节持重 甄心动惧 慎小事微 履薄临深
百无一是 劳而无功 徒劳无功 百无一堪 百不一存
七损八伤 冰消冻解 冰散瓦解 伤筋动骨 瓦解冰消
信守不渝 守正不回 抱诚守真 蹈仁履义 履信思顺
奴颜婢睐 低声下气 低眉折腰 服低做小 做小伏低
抽秘骋妍 大发议论 自媒自衒 掉舌鼓唇 各抒己见
慌手慌脚 人来人往 马捉老鼠 汗流满面 不遑启处
烂若披锦 金章玉句 侈丽闳衍 镂金错彩 穿红着绿
能言快语 其应若响 其应如响 能言快说 应对如响
名门世族 名垂后世 乌衣门第 凤子龙孙 豪门贵胄
燕雀之见 肉眼愚眉 嗫嚅小儿 略知皮毛 目睫之论
巴头探脑 顾左右而言他 心存目想 高睨大谈 风言影语
碎骨粉尸 焚巢荡穴 焚巢捣穴 扫地以尽 冰消冻解
舞弄文墨 析律舞文 舞文饰智 析言破律 舞词弄札
名胜古迹 名山胜川 山清水秀 风月无边 鸿图华构
嗟悔无及 长嘘短叹 长吁短气 感旧之哀 云消雨散
变古乱常 变俗易教 改俗迁风 改政移风 革风易俗
忍心害理 狠心辣手 心辣手狠 心如刀剉 心如刀锉
按行自抑 克己慎行 严于律已 防心摄行 闲邪存诚
一搭一档 共为唇齿 枝叶相持 笙磬同音 雄唱雌和
櫜甲束兵 解甲投戈 卷甲束兵 解甲休士 案兵束甲
敲金击玉 敲金戛玉 扣人心弦 鼓乐齐鸣 筛锣擂鼓
亲如手足 如兄如弟 情重姜肱 灼艾分痛 煮粥焚须
假力于人 助人下石 相辅而行 假手于人 将伯之呼
时望所归 重望高名 身显名扬 道高德重 太平盛世
物归原主 将伯之呼 有借无还 求亲靠友 求亲告友
钩金舆羽 两般三样 判若水火 未可同日而语 天差地远
低头哈腰 谦虚谨慎 心虔志诚 轻身下气 降心俯首
百巧成穷 百巧千穷 飞将数奇 才高意广 鹤困鸡群
痛诬丑诋 恶语伤人 恶言詈辞 破口大骂 恶语相加
稠人广座 压肩叠背 屯街塞巷 人烟浩穰 人烟稠密
卷甲倍道 奋勇当先 愤不顾身 勇往直前 奋起直追
金石之言 金石良言 一言千金 中流一壸 语重心长
犹豫不决 踟蹰不前 进退狐疑 进退两端 迟疑不断
巧立名目 巧立名色 左建外易 巧作名目 假名托姓
一成不易 一成不变 禀性难移 生米煮成熟饭 生米做成熟饭
俎樽折冲 争权夺利 争名夺利 运筹制胜 运筹千里
孔情周思 孔思周情 周情孔思 孔孟之道 硕学通儒
阳春有脚 霄鱼垂化 一命之荣 入铁主簿 金闺国士
死而复生 布袋里老鸦 出世离群 一佛出世，二佛涅盘 一佛出世，二佛涅槃
讳莫高深 隐迹埋名 潜形匿迹 匿迹隐形 隐姓埋名
七窝八代 阖门百口 一家老小 妻儿老小 诸亲好友
龙凤呈祥 吉祥如意 张灯结采 福寿康宁 福寿绵绵
重逆无道 逆天暴物 违天悖人 遁天妄行 逆天违众
雁塔题名 朱衣使者 雁塔新题 鄐诜丹桂 及第成名
谨行俭用 乐不可极 谨身节用 慎小事微 俭以养德
遗臭无穷 丑声远播 遗臭万载 缪种流传 遗臭千秋
幺弦孤韵 吹竹弹丝 弹丝品竹 轻歌曼舞 繁弦急管
以柔克刚 以柔制刚 柔能克刚 威胁利诱 威迫利诱
风语不透 秘而不言 严丝合缝 讳莫高深 倾柯卫足
同盘而食 推梨让枣 灸艾分痛 长枕大衾 长枕大被
文武全才 才兼文武 文经武略 文武兼备 才学兼优
兰心蕙性 口吻生花 雅人清致 凤叹虎视 斯斯文文
食不二味 食不兼肉 食不累味 食不兼味 食不重肉
利齿能牙 灵心慧齿 心巧嘴乖 能言快语 辩口利舌
照章办事 井井有法 以身作则 正法直度 奉公如法
根深柢固 根深蒂固 盘石之固 根盘蒂结 磬石之固
过甚其辞 言行不符 不切实际 言不顾行 言不逮意
一枕南柯 一枕黄粱 游心骇耳 恍如梦寐 恍如梦境
无所不在 无远弗届 无施不可 遥遥在望 触目皆是
见机行事 相机行事 随时施宜 因时制宜 因事制宜
惟口起羞 没轻没重 青口白舌 血口喷人 狗屁不通
一朝之患 飞殃走祸 飞来横祸 飞灾横祸 遭倾遇祸
潜形匿迹 匿迹隐形 贼头鼠脑 假惺惺 藏头亢脑
睹景伤情 触景伤心 触景伤怀 触目伤心 触目伤怀
救过不赡 累教不改 不破不立 无如之何 无所施其技
岩栖谷隐 山栖谷饮 岩居穴处 岩栖穴处 岩栖谷饮
正经八百 历历可见 深切著白 深切著明 祲威盛容
骁勇善战 人强胜天 以弱胜强 龙腾虎踞 人多势众
忸怩不安 愧悔无地 惊恐失色 心慌撩乱 惶惶不安
分丝析缕 耳听八方 聆音察理 洗耳拱听 句斟字酌
四面受敌 遵养晦时 表里受敌 险象环生 背腹受敌
莫予毒也 莫余毒也 莫敢谁何 无机可乘 人不犯我，我不犯人
一时三刻 一时半晌 一时半霎 一时半刻 瞬息之间
七高八低 千沟万壑 崤函之固 虎踞龙盘 一夫当关
金城千里 铁郭金城 崇墉百雉 石城汤池 深根固蒂
乐往哀来 乐极则悲 乐极哀来 乐极悲来 乐极生哀
不乏先例 诸如此例 繁征博引 知往鉴今 诸如此比
地上天官 国富民丰 家给人足 民富国强 神完气足
恩深义重 义重恩深 恩重泰山 恩有重报 深仁厚泽
歪心邪意 腹非心谤 洞察其奸 怀冤抱屈 以意逆志
冲口而出 脱口而出 探口而出 放言高论 畅所欲言
治国安邦 保国安民 济世安民 安国富民 护国佑民
交梨火枣 七返丹 连鳌跨鲸 鸾音鹤信 瑶草奇花
诈败佯输 虚情假意 招摇撞骗 诳时惑众 狂三诈四
昏迷不醒 昏头转向 魂摇魄乱 神情恍惚 昏迷不省
万里迢迢 山遥路远 路远迢迢 山长水远 万里鹏程
不可逾越 杜绝后患 路绝人稀 闭门扫迹 闭门埽轨
损人害己 折节待士 损己利人 涤瑕蹈隙 恶语伤人
半吐半露 半吞半吐 结结巴巴 牛听弹琴 诘屈磝碻
偃武崇文 偃革尚文 兴文匽武 揆文奋武 偃兵修文
横无忌惮 任达不拘 自由放任 恣情纵欲 放诞不拘
三蛇七鼠 恶性循环 重床叠屋 重床叠架 重床迭架
豕窜狼逋 弃甲曳兵 鼠窜狼奔 仓皇无措 弃甲丢盔
优柔寡断 踌躇不决 游移不定 优游不断 趑趄不前
惊才风逸 跌宕风流 丽句清词 高情逸兴 咳珠唾玉
末如之何 低首下气 生米煮成熟饭 生米做成熟饭 一牛九锁
泛泛之谈 泛泛而谈 要而言之 要而论之 詹言曲说
渺不足道 小小不言 毫发丝粟 郐下无讥 弹丸黑志
赏立诛必 当机立决 赏信罚必 奖罚分明 赏不逾时
鲁卫之政 彼此彼此 异名同实 同船合命 同符合契
探丸借客 手足异处 刻骨崩心 鸷击狼噬 尸山血海
冁然而笑 莞尔而笑 满脸春色 载欢载笑 笑逐颜开
橘化为枳 飘风苦雨 河决鱼烂 握蛇骑虎 黑风孽海
轻死重气 轻死重义 忠肝义胆 有勇知方 临危致命
矢忠不二 丹心如故 抱诚守真 坚贞不渝 信守不渝
五陵英少 五陵年少 膏腴子弟 长安少年 膏粱年少
凡夫俗子 燕岱之石 道边苦李 凡偶近器 鸡鹜相争
头焦额烂 烂额焦头 尿流屁滚 狼狈不堪 哭笑不得
小鹿触心头 惶惶不安 惶恐不安 心有余悸 惊恐失色
止戈散马 休牛归马 休牛散马 来好息师 案兵束甲
贱买贵卖 贱敛贵出 贱入贵出 买贱卖贵 贱敛贵发
击毂摩肩 千乘万骑 马咽车阗 车马骈阗 挨山塞海
罗敷有夫 琵琶别抱 燕燕于归 嫁犬逐犬 嫁鸡逐鸡
画荻丸熊 母以子贵 教导有方 诗礼之训 贤妻良母
乘云行泥 天高地下 亲疏贵贱 水里纳瓜 贵贱高下
力所能及 力所不及 惟力是视 事不有余 径行直遂
异端邪说 书生之见 诡雅异俗 一隅之说 负类反伦
命辞遣意 命词遣意 诗以言志 托之空言 谢家活计
十战十胜 无往不克 无往不胜 常胜将军 百战百胜
言和意顺 言行相副 心口相应 经验之谈 言行相符
风雨飘零 漂零蓬断 云散风流 鼠窜蜂逝 恍恍荡荡
各自为战 三分鼎立 鼎分三足 各安生业 蜂房蚁穴
东鸣西应 相与为一 有无相通 相生相成 风从虎，云从龙
旷日积晷 旷日经年 历日旷久 旷日长久 历久弥坚
闳识孤怀 大有见地 独出己见 独得之见 老成见到
以弱胜强 弱肉强食 优胜劣败 强食弱肉 欺大压小
崭露头脚 初试锋芒 初露锋芒 初露头角 逸群之才
革旧图新 送旧迎新 励精更始 破旧立新 弃过图新
谋夫孔多 谋臣如雨 谋臣猛将 能者多劳 雄才大略
茅室蓬户 土阶茅屋 蓬门荜户 织楚成门 土阶茅茨
生死未卜 不知所终 永无止境 变化不测 久悬不决
禁中颇牧 文武兼备 允文允武 才兼文武 入铁主簿
以攻为守 以守为攻 打击报复 击其不意 突然袭击
舌锋如火 口沸目赤 咆哮如雷 爬耳搔腮 烧眉之急
凤舞龙飞 龙蛇飞舞 捉衿见肘 笔走龙蛇 游云惊龙
握雾拏云 握云拿雾 腾云驾雾 驾雾腾云 占风望气
随寓而安 甘分随时 恬淡无为 超然自得 逍遥自在
镂心刻骨 刻骨相思 入骨相思 没世不忘 绨袍之义
持正不阿 秉节持重 守正不回 公正不阿 洁身自守
沾沾自衒 丰姿冶丽 任达不拘 肆行无忌 天生尤物
尽力而为 鲁阳挥戈 反败为胜 转败为胜 痛剿穷迫
遗世忘累 肥遯鸣高 无为自化 餐云卧石 删华就素
挑拨离间 引绳排根 以众暴寡 排斥异己 排除异己
流落江湖 流移失所 上天无路，入地无门 流离颠顿 流离颠痜
鸿鹄之志 燕雀安知鸿鹄志 鸿渐之翼 鸿鹄将至 鸿鷑凤逝
大请大受 知遇之恩 以誉为赏 大开方便之门 高官尊爵
朝华夕秀 生花妙笔 生花之笔 镂冰劚雪 自出机轴
超世之才 逸群之才 才识过人 才华超众 有识之士
